"LAKNAM","MIDAS","STATION","SAMPDATE","METER","DEPTH","QC_TEMP","QC_OXYGEN"
"Annabessacook",9961,1,2022-07-26,"YSI52 1",10,13.7,0.2
"Annabessacook",9961,1,2022-07-26,"YSI52 1",3,25.9,7.7
"Annabessacook",9961,1,2022-07-26,"YSI52 1",10,13.7,0.2
"Annabessacook",9961,1,2022-07-26,"YSI52 1",3,25.9,7.7
"Annabessacook",9961,1,2022-08-31,"other",NA,NA,NA
"Annabessacook",9961,1,2022-08-31,"other",NA,NA,NA
"Annabessacook",9961,1,2022-11-07,"YSI52 1",2,13.5,8.8
"Annabessacook",9961,1,2022-11-07,"YSI52 1",10,12.7,7.5
"Annabessacook",9961,1,2022-11-07,"YSI52 1",2,13.5,8.8
"Annabessacook",9961,1,2022-11-07,"YSI52 1",10,12.7,7.5
