Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1976,4.02,3.66,2.83,2.79,4.77,3.37,6.61,5.28,1.69,5.83,1.12,3.28
1977,4.04,2.85,6.34,3.36,1.62,2.28,1.3,4.23,5.81,7.00,4.79,7.41
1978,7.59,1.32,4.32,2.76,3.45,3.81,2.31,1.76,0.97,3.36,2.05,2.68
1979,9.70,2.59,4.98,6.75,7.42,0.85,3.44,4.41,3.21,5.72,3.65,2.18
1980,0.51,0.75,4.59,6.39,1.08,2.48,4.11,1.92,4.38,4.09,4.31,0.84
1981,1.31,4.12,1.40,2.82,2.64,2.99,6.71,2.71,5.23,8.06,2.22,4.30
1982,4.19,1.55,3.11,3.03,1.31,6.35,2.85,3.49,2.07,1.14,3.91,1.47
1983,3.87,2.55,8.26,7.57,6.94,0.89,5.10,4.39,1.33,2.77,9.05,6.77
1984,1.87,4.96,3.93,4.57,8.77,7.10,2.89,2.69,1.57,2.12,3.06,2.60
1985,0.79,2.87,2.45,1.81,2.08,2.45,1.75,4.86,3.36,3.56,4.05,2.00
1986,5.24,1.00,4.11,3.49,4.85,2.30,4.21,4.42,2.21,1.17,2.78,4.71
1987,3.02,0.40,2.29,7.03,1.80,4.30,2.68,2.04,3.72,3.42,3.42,1.39
1988,1.55,2.26,0.88,2.88,1.96,2.62,5.84,5.16,0.99,3.63,6.77,1.40
1989,1.18,2.45,1.56,3.59,6.00,5.08,0.82,4.29,3.60,3.52,3.79,1.12
1990,4.45,2.23,1.11,4.20,5.45,3.34,4.48,2.26,3.01,7.04,3.85,6.57
1991,2.38,1.02,5.23,3.18,3.08,2.61,2.55,10.28,4.70,3.57,4.44,3.07
1992,3.35,2.53,6.28,2.50,0.43,4.46,6.18,2.58,3.20,2.72,3.88,1.31
1993,2.35,3.75,4.68,5.27,1.18,3.56,2.36,1.99,3.67,2.99,4.72,4.64
1994,5.31,1.66,5.31,3.48,4.03,1.73,5.54,3.39,6.03,1.26,4.75,3.36
1995,3.65,3.06,3.14,1.82,3.99,2.00,3.25,1.19,2.43,7.01,6.49,2.86
1996,5.66,3.65,2.23,5.17,4.13,4.53,10.54,1.67,7.85,4.06,1.13,7.03
1997,4.11,1.83,3.04,4.42,3.15,3.63,4.06,2.87,3.69,1.21,4.43,2.41
1998,4.14,3.92,4.24,3.49,2.95,12.55,1.58,1.19,1.55,7.81,2.71,1.92
1999,5.35,2.34,8.15,0.22,3.40,2.04,1.64,2.14,11.10,5.68,3.45,2.54
2000,3.79,3.21,4.40,6.38,4.80,1.94,5.99,1.94,1.46,3.42,3.77,4.07
2001,1.52,3.25,4.52,2.61,1.09,3.82,2.47,0.27,4.25,1.21,3.10,2.53
2002,2.38,3.48,3.36,5.95,3.31,4.46,2.39,0.99,4.07,3.24,5.21,3.82
2003,1.68,2.67,3.27,1.37,3.40,2.42,2.45,3.04,5.11,7.98,3.96,7.20
2004,0.44,2.27,1.13,4.90,4.33,2.67,3.23,6.40,2.20,2.08,3.69,4.49
2005,2.81,3.15,4.86,8.79,7.34,4.81,1.92,3.94,2.47,11.49,6.49,5.43
2006,4.39,1.87,1.20,2.12,6.32,8.42,5.36,3.56,4.12,9.06,5.14,3.01
2007,2.61,2.42,4.13,8.10,2.75,4.00,2.60,3.04,3.86,6.28,5.80,4.42
2008,2.53,6.90,3.99,3.72,1.09,4.13,3.87,5.90,7.44,3.24,7.09,5.11
2009,2.80,3.16,2.74,4.50,3.47,8.56,7.86,4.83,1.21,5.16,6.56,5.21
2010,3.94,4.31,6.37,2.78,1.66,5.98,2.84,1.87,4.57,6.40,6.00,5.78
2011,2.12,1.82,6.58,7.45,4.63,4.16,1.94,7.66,3.17,5.24,2.75,3.40
2012,2.74,0.96,1.86,4.21,6.41,9.25,1.55,4.63,4.36,5.43,1.19,4.38
2013,1.47,3.65,2.03,1.81,6.61,6.59,6.91,4.97,8.36,1.26,3.93,4.13
2014,3.87,3.06,4.18,3.01,4.11,4.01,6.65,5.30,0.69,5.65,2.18,5.43
2015,3.29,2.34,1.49,4.25,1.43,6.28,4.95,4.01,3.43,6.42,2.38,5.09
2016,3.74,4.36,3.48,2.87,1.91,3.61,2.91,2.85,1.24,5.69,3.59,5.20
2017,3.49,3.95,2.60,4.14,4.92,3.02,1.81,2.02,4.54,7.27,2.12,3.84
2018,4.49,2.99,2.49,5.11,1.15,2.71,4.65,3.13,3.76,4.76,6.85,3.56
2019,5.30,3.23,1.69,4.69,4.19,4.57,3.09,4.09,1.36,7.68,3.03,3.76
2020,2.99,2.92,2.51,6.03,2.22,2.36,4.49,2.03,0.93,5.96,4.01,6.48
2021,2.9,3.05,1.88,3.74,1.98,0.64,7.78,3.44,5.05,4.23,2.93,2.97
2022,2.48,3.76,3.43,5.05,1.59,2.96,3.71,3.13,5.07,7.68,3.4,6.57
