MIDAS,LAKE
98,NARROWS P (UPPER)
103,NARROWS P (LOWER)
3814,COCHNEWAGON P
3828,BERRY P
3830,DEXTER P
3832,WILSON P
3834,APPLE VALLEY
5236,COBBOSSEECONTEE L
5238,SAND P (TACOMA LKS)
5240,WOODBURY P
5242,BUKER P
5244,JIMMY P
5246,LOON P
5248,MUD
5250,PURGATORY P (LITTLE)
5252,HORSESHOE P
5254,PLEASANT (MUD) P
5265,DESERT P
5300,SHED P
5302,JAMIES (JIMMIE) P
5304,HUTCHINSON P
5306,BRAINARD
5307,TORSEY (GREELEY) P
5308,MILL
5310,CARLTON P
5312,MARANACOOK L
5316,KEZAR P
8065,COBBOSSEECONTEE (LT)
8147,MUD
9961,ANNABESSACOOK L
