"depth","chl","lake"
0.1,1.07,"LakeName"
0.2,1.15,"LakeName"
0.3,1.14,"LakeName"
0.4,1.2,"LakeName"
0.5,1.31,"LakeName"
0.6,1.35,"LakeName"
0.7,1.3,"LakeName"
0.8,1.32,"LakeName"
0.9,1.1,"LakeName"
1,1.35,"LakeName"
1.1,1.42,"LakeName"
1.2,1.45,"LakeName"
1.3,1.49,"LakeName"
1.4,1.4,"LakeName"
1.5,1.37,"LakeName"
1.6,1.53,"LakeName"
1.7,1.65,"LakeName"
1.8,1.75,"LakeName"
1.9,1.84,"LakeName"
2,1.91,"LakeName"
2.1,2,"LakeName"
2.2,2.17,"LakeName"
2.3,2.04,"LakeName"
2.4,1.91,"LakeName"
2.5,1.94,"LakeName"
2.6,1.95,"LakeName"
2.7,2.17,"LakeName"
2.8,2.44,"LakeName"
2.9,2.61,"LakeName"
3,2.69,"LakeName"
3.1,2.76,"LakeName"
3.2,2.82,"LakeName"
3.3,2.98,"LakeName"
3.4,2.92,"LakeName"
3.5,2.72,"LakeName"
3.6,2.86,"LakeName"
3.7,3.02,"LakeName"
3.8,3.11,"LakeName"
3.9,3.26,"LakeName"
4,3.22,"LakeName"
4.1,3.14,"LakeName"
4.2,3.19,"LakeName"
4.3,3.15,"LakeName"
4.4,3.12,"LakeName"
4.5,3.2,"LakeName"
4.6,3.26,"LakeName"
4.7,3.67,"LakeName"
4.8,3.76,"LakeName"
4.9,4.5,"LakeName"
5,4.62,"LakeName"
5.1,4.99,"LakeName"
5.2,5.6,"LakeName"
5.3,6.41,"LakeName"
5.4,6.72,"LakeName"
5.5,6.94,"LakeName"
5.6,7.14,"LakeName"
5.7,7.06,"LakeName"
5.8,7.39,"LakeName"
5.9,7.26,"LakeName"
6,7.17,"LakeName"
6.1,6.98,"LakeName"
6.2,6.94,"LakeName"
6.3,7.14,"LakeName"
6.4,6.93,"LakeName"
6.5,6.44,"LakeName"
6.6,5.73,"LakeName"
6.7,5.28,"LakeName"
6.8,4.77,"LakeName"
6.9,4.35,"LakeName"
7,4.43,"LakeName"
7.1,3.55,"LakeName"
7.2,3.59,"LakeName"
7.3,3.6,"LakeName"
7.4,3.52,"LakeName"
7.5,2.59,"LakeName"
7.6,2.24,"LakeName"
7.7,2.42,"LakeName"
7.8,2.2,"LakeName"
7.9,2.21,"LakeName"
8,2.17,"LakeName"
8.1,1.76,"LakeName"
8.2,1.51,"LakeName"
8.3,1.82,"LakeName"
8.4,1.71,"LakeName"
8.5,1.64,"LakeName"
8.6,1.49,"LakeName"
8.7,1.35,"LakeName"
8.8,1.38,"LakeName"
8.9,1.31,"LakeName"
9,1.17,"LakeName"
9.1,0.99,"LakeName"
9.2,0.83,"LakeName"
9.3,0.73,"LakeName"
9.4,0.72,"LakeName"
9.5,0.73,"LakeName"
9.6,0.69,"LakeName"
9.7,0.68,"LakeName"
9.8,0.64,"LakeName"
9.9,0.58,"LakeName"
10,0.55,"LakeName"
10.1,0.54,"LakeName"
10.2,0.51,"LakeName"
10.3,0.57,"LakeName"
10.4,0.55,"LakeName"
10.5,0.55,"LakeName"
10.6,0.5,"LakeName"
10.7,0.52,"LakeName"
10.8,0.48,"LakeName"
10.9,0.51,"LakeName"
11,0.5,"LakeName"
11.1,0.48,"LakeName"
11.2,0.44,"LakeName"
11.3,0.46,"LakeName"
11.4,0.44,"LakeName"
11.5,0.47,"LakeName"
11.6,0.46,"LakeName"
11.7,0.46,"LakeName"
11.8,0.4,"LakeName"
11.9,0.48,"LakeName"
12,0.46,"LakeName"
12.1,0.49,"LakeName"
12.2,0.48,"LakeName"
12.3,0.42,"LakeName"
12.4,0.42,"LakeName"
12.5,0.44,"LakeName"
12.6,0.43,"LakeName"
12.7,0.46,"LakeName"
12.8,0.48,"LakeName"
12.9,0.48,"LakeName"
13,0.46,"LakeName"
13.1,0.48,"LakeName"
13.2,0.49,"LakeName"
13.3,0.51,"LakeName"
13.4,0.51,"LakeName"
13.5,0.52,"LakeName"
13.6,0.49,"LakeName"
13.7,0.49,"LakeName"
13.8,0.52,"LakeName"
13.9,0.44,"LakeName"
14,0.46,"LakeName"
14.1,0.46,"LakeName"
14.2,0.43,"LakeName"
14.3,0.44,"LakeName"
14.4,0.45,"LakeName"
14.5,0.46,"LakeName"
14.6,0.48,"LakeName"
14.7,0.47,"LakeName"
