"Lake","Depth_m","Group1_ugL","Group2_ugL","Group3_ugL","Group4_ugL"
"Lake1",0.2,0.35,0.37,0.98,0.04
"Lake1",0.3,0.5,0.2,1.12,0.29
"Lake1",0.4,0.54,0.16,1.19,0.23
"Lake1",0.5,0.43,0.1,1.12,0.31
"Lake1",0.6,0.5,0.17,1.25,0.21
"Lake1",0.7,0.63,0.13,0.96,0.44
"Lake1",0.8,0.44,0.25,1.43,0.09
"Lake1",0.9,0.5,0.2,1.28,0.24
"Lake1",1,0.51,0.21,1.3,0.23
"Lake1",1.1,0.53,0.15,1.23,0.37
"Lake1",1.2,0.54,0.19,1.31,0.26
"Lake1",1.3,0.5,0.1,1.05,0.6
"Lake1",1.4,0.56,0.21,1.25,0.37
"Lake1",1.5,0.58,0.07,1.11,0.51
"Lake1",1.6,0.52,0.14,1.1,0.52
"Lake1",1.7,0.57,0.2,1.22,0.31
"Lake1",1.8,0.56,0.15,1.23,0.37
"Lake1",1.9,0.59,0.1,1.17,0.45
"Lake1",2,0.47,0.16,1.33,0.34
"Lake1",2.1,0.54,0.14,1.17,0.36
"Lake1",2.2,0.55,0.16,1.25,0.34
"Lake1",2.3,0.51,0.16,1.15,0.4
"Lake1",2.4,0.51,0.21,1.14,0.41
"Lake1",2.5,0.54,0.17,1.07,0.44
"Lake1",2.6,0.52,0.1,0.91,0.66
"Lake1",2.7,0.46,0.19,1.1,0.49
"Lake1",2.8,0.47,0.23,1.03,0.48
"Lake1",2.9,0.49,0.24,0.97,0.57
"Lake1",3,0.55,0.25,0.9,0.6
"Lake1",3.1,0.51,0.27,1.02,0.59
"Lake1",3.2,0.52,0.29,1.02,0.61
"Lake1",3.3,0.52,0.26,0.98,0.69
"Lake1",3.4,0.48,0.28,0.93,0.72
"Lake1",3.5,0.45,0.3,1.06,0.67
"Lake1",3.6,0.47,0.33,0.95,0.75
"Lake1",3.7,0.46,0.4,1.09,0.64
"Lake1",3.8,0.5,0.39,0.99,0.74
"Lake1",3.9,0.49,0.39,1.09,0.62
"Lake1",4,0.5,0.41,1.11,0.68
"Lake1",4.1,0.45,0.44,1.05,0.71
"Lake1",4.2,0.41,0.46,1.01,0.79
"Lake1",4.3,0.33,0.58,1.4,0.69
"Lake1",4.4,0.38,0.59,1.18,0.83
"Lake1",4.5,0.38,0.59,1.26,0.87
"Lake1",4.6,0.34,0.73,1.24,1
"Lake1",4.7,0.39,0.71,1.36,0.83
"Lake1",4.8,0.44,0.69,1.53,0.95
"Lake1",4.9,0.36,0.79,1.72,0.99
"Lake1",5,0.41,0.86,2.05,0.81
"Lake1",5.1,0.36,0.87,2.48,0.92
"Lake1",5.2,0.28,0.85,2.92,1.13
"Lake1",5.3,0.2,0.97,3.42,1.16
"Lake1",5.4,0.19,0.87,3.34,1.24
"Lake1",5.5,0.19,0.92,3.59,1.29
"Lake1",5.6,0.09,0.9,3.58,1.31
"Lake1",5.7,0.17,0.95,3.65,1.34
"Lake1",5.8,0.03,0.87,3.79,1.4
"Lake1",5.9,0.08,0.98,3.81,1.34
"Lake1",6,0.07,0.89,4.05,1.24
"Lake1",6.1,0,0.67,4.21,1.94
"Lake1",6.2,0,0.54,3.9,2.35
"Lake1",6.3,0,0.61,4.1,2.08
"Lake1",6.4,0,0.55,3.72,2.24
"Lake1",6.5,0,0.49,3.33,2.41
"Lake1",6.6,0,0.52,2.8,2.27
"Lake1",6.7,0,0.43,2.52,2.4
"Lake1",6.8,0,0.46,2.17,2.48
"Lake1",6.9,0,0.42,1.9,2.73
"Lake1",7,0,0.43,1.73,2.62
"Lake1",7.1,0,0.31,1.33,2.73
"Lake1",7.2,0,0.26,0.58,3.18
"Lake1",7.3,0,0.55,0.74,3.27
"Lake1",7.4,0,0.82,1.05,3.08
"Lake2",0.2,3.69,0.2,0,0.18
"Lake2",0.3,3.25,0.38,0.32,0.25
"Lake2",0.4,3.15,0.39,0.38,0
"Lake2",0.5,3.79,0.22,0.22,0.12
"Lake2",0.6,3.56,0.41,0.27,0.04
"Lake2",0.7,3.42,0.37,0.38,0.06
"Lake2",0.8,3.47,0.44,0.36,0.04
"Lake2",0.9,3.35,0.48,0.38,0.02
"Lake2",1,3.23,0.52,0.4,0
"Lake2",1.1,3.41,0.45,0.35,0
"Lake2",1.2,3.59,0.38,0.3,0
"Lake2",1.3,3.21,0.5,0.39,0.1
"Lake2",1.4,3.13,0.35,0.57,0
"Lake2",1.5,3.18,0.55,0.63,0
"Lake2",1.6,3.3,0.59,0.76,0
"Lake2",1.7,3.42,0.62,0.9,0
"Lake2",1.8,3.98,0.74,0.68,0.06
"Lake2",1.9,3.73,0.55,0.48,0.49
"Lake2",2,4.5,0.59,0.38,0
"Lake2",2.1,3.86,0.82,0.8,0
"Lake2",2.2,3.83,0.81,0.87,0.02
"Lake2",2.3,4.09,0.87,0.9,0.03
"Lake2",2.4,4.35,0.93,0.93,0.04
"Lake2",2.5,3.93,1.13,1.04,0
"Lake2",2.6,4.16,1.03,1.04,0.16
"Lake2",2.7,4.07,1.21,1.03,0.26
"Lake2",2.8,3.98,1.25,1.27,0.02
"Lake2",2.9,3.84,1.09,1.32,0
"Lake2",3,3.31,1.14,2.03,0.14
"Lake2",3.1,4.05,0.99,1.1,0.36
"Lake2",3.2,0.52,2.21,17.97,2.52
"Lake2",3.3,0,2.96,31.48,5.13
"Lake2",3.4,0,3.79,35.21,6.98
"Lake2",3.5,0,2.48,18.83,3.83
"Lake2",3.6,0,2.3,17.11,3.3
"Lake2",3.7,0,2,17.02,4.2
"Lake2",3.8,0,2.25,17.66,3.54
"Lake2",3.9,0,2.6,22.56,4.12
"Lake2",4,0.06,1.9,10.09,1.2
"Lake2",4.1,0,1.88,8.32,1.37
"Lake2",4.2,0,1.19,3.96,1.17
"Lake2",4.3,0.02,1.16,3.21,1.14
"Lake2",4.4,0.05,1.13,2.45,1.12
"Lake2",4.5,0.04,1.14,2.27,1.33
"Lake2",4.6,0.03,1.15,2.1,1.54
"Lake2",4.7,0.02,1.21,2.1,1.62
"Lake2",4.8,0,1.27,2.1,1.7
"Lake2",4.9,0.17,1.14,1.73,1.55
"Lake2",5,0.3,0.93,1.46,1.21
"Lake2",5.1,0.06,1.06,1.54,0.4
"Lake2",5.2,0.57,0.67,0.76,0.83
"Lake2",5.3,0.48,0.74,0.88,0.61
"Lake2",5.4,0.4,0.81,1,0.4
"Lake2",5.5,0.18,0.68,0.9,0.76
"Lake2",5.6,0.2,0.68,0.86,0.74
"Lake2",5.7,0.36,0.48,0.74,1.04
"Lake2",5.8,0.4,0.65,0.77,0.81
"Lake2",5.9,0,0.68,0.96,0.39
"Lake2",6,0,0.45,0.81,0.62
"Lake2",6.1,0,0.29,0.73,0.75
"Lake2",6.2,0,0.78,0.9,2.9
"Lake2",6.3,0,0.72,0.95,2.96
"Lake2",6.4,0,0.8,0.85,4.07
"Lake2",6.5,0,1.14,0.95,4.77
"Lake2",6.6,0,1.19,0.46,5.89
"Lake2",6.7,0,1.1,0.33,6.21
"Lake2",6.8,0,1.23,0.26,6.24
"Lake2",6.9,0,1.23,0.25,6.17
"Lake2",7,0,1.12,0.1,6.1
"Lake2",7.1,0,1.09,0.05,6.02
"Lake2",7.2,0,1.06,0,5.95
"Lake2",7.3,0,1.06,0.03,6.01
"Lake2",7.4,0,1.05,0,6.01
"Lake2",7.5,0,1.07,0.2,5.8
"Lake2",7.6,0,1.06,0,5.58
"Lake2",7.7,0,1.01,0,4.81
"Lake2",7.8,0,0.96,0,4.8
"Lake2",7.9,0,0.96,0,4.75
"Lake2",8,0,0.96,0,4.7
"Lake2",8.1,0,0.99,0,4.94
"Lake2",8.2,0,0.94,0,4.8
"Lake2",8.3,0,0.73,0,4.99
"Lake2",8.4,0,0.74,0,5.3
"Lake2",8.5,0,0.54,0,5.87
"Lake2",8.7,0,0.32,0,7.45
"Lake2",8.8,0,0.18,0,7.89
"Lake2",9,0,0.17,0.12,8.86
